DATE,p_saving_rate,target,mortgage,permit,population,emratio,income,new_private_hw_under,gdp,home_ow_rate,House_starts,total_emp_cons,labor_percent,monthly_supply,unemployed_rate,MspUS
01-01-1987,9.4,63.735,9.204,1690,241857,61,3820.2,1090,4722.156,63.9,1774,5007,65.4,6,6.6,97900
01-02-1987,8.2,64.135,9.0825,1689,242005,61.1,3845,1096,4722.156,63.9,1784,5038,65.5,6.2,6.6,97900
01-03-1987,8.1,64.47,9.035,1704,242166,61.2,3863.8,1084,4722.156,63.9,1726,5039,65.5,6,6.6,97900
01-04-1987,4.1,64.973,9.8325,1601,242338,61.3,3875.4,1079,4806.16,63.9,1614,5053,65.4,6,6.3,103400
01-05-1987,7.8,65.547,10.596,1500,242516,61.6,3908.6,1070,4806.16,63.9,1628,5080,65.7,6.7,6.3,103400
01-06-1987,7.3,66.218,10.5375,1522,242706,61.4,3919.7,1060,4806.16,63.9,1594,5086,65.5,6.9,6.2,103400
01-07-1987,7.1,66.786,10.278,1516,242908,61.6,3942.1,1051,4884.555,64.1,1575,5092,65.6,6.7,6.1,106000
01-08-1987,6.8,67.27,10.33,1511,243118,61.8,3978.6,1045,4884.555,64.1,1605,5102,65.7,6.8,6,106000
01-09-1987,7.2,67.624,10.8875,1514,243335,61.6,3995.6,1048,4884.555,64.1,1695,5096,65.5,6.8,5.9,106000
01-10-1987,7.9,67.903,11.26,1447,243543,61.8,4034.7,1041,5007.994,64.1,1515,5142,65.7,6.8,6,111500
01-11-1987,8.2,68.093,10.65,1457,243724,61.9,4062.1,1042,5007.994,64.1,1656,5152,65.7,7,5.8,111500
01-12-1987,8.4,68.344,10.64,1345,243895,62,4115.7,1018,5007.994,64.1,1400,5180,65.7,7.6,5.7,111500
01-01-1988,7.9,68.583,10.3825,1244,244056,62,4128.2,1008,5073.372,63.8,1271,5094,65.8,7.5,5.7,110000
01-02-1988,8.4,68.916,9.8925,1438,244205,62.1,4153,976,5073.372,63.8,1473,5162,65.9,6.6,5.7,110000
01-03-1988,8,69.325,9.93,1525,244362,61.9,4178.3,994,5073.372,63.8,1532,5201,65.7,6.6,5.7,110000
